"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Kellen Clemens",5000,"SD@KC 01:00PM ET",6.520,"SD"
"QB","Matt Moore",5000,"NYG@Mia 08:30PM ET",0.360,"Mia"
"QB","Matt Flynn",5000,"NO@TB 01:00PM ET",0,"NO"
"QB","Chad Henne",5000,"Ind@Jax 01:00PM ET",0,"Jax"
"QB","Josh Johnson",5000,"Buf@Phi 01:00PM ET",0,"Buf"
"TE","Gary Barnidge",5000,"SF@Cle 01:00PM ET",16.058,"Cle"
"RB","Darren McFadden",5000,"Dal@GB 04:25PM ET",12.833,"Dal"
"QB","Joe Webb",5000,"Atl@Car 01:00PM ET",-0.008,"Car"
"QB","Mark Sanchez",5000,"Buf@Phi 01:00PM ET",12.613,"Phi"
"QB","Chase Daniel",5000,"SD@KC 01:00PM ET",0.160,"KC"
"QB","Colt McCoy",5000,"Was@Chi 01:00PM ET",0.000,"Was"
"QB","T.J. Yates",5000,"NE@Hou 08:30PM ET",11.110,"Hou"
"QB","Christian Ponder",5000,"Oak@Den 04:05PM ET",0,"Den"
"QB","Scott Tolzien",5000,"Dal@GB 04:25PM ET",0.000,"GB"
"RB","DeMarco Murray",5000,"Buf@Phi 01:00PM ET",14.309,"Phi"
"QB","Thaddeus Lewis",5000,"Buf@Phi 01:00PM ET",0,"Phi"
"RB","Chris Ivory",5000,"Ten@NYJ 01:00PM ET",16.136,"NYJ"
"QB","Case Keenum",5000,"Det@StL 01:00PM ET",3.720,"StL"
"QB","Jimmy Clausen",5000,"Sea@Bal 01:00PM ET",2.387,"Bal"
"QB","Kellen Moore",5000,"Dal@GB 04:25PM ET",0,"Dal"
"QB","Brandon Weeden",5000,"NE@Hou 08:30PM ET",9.630,"Hou"
"QB","Nick Foles",5000,"Det@StL 01:00PM ET",9.825,"StL"
"QB","Landry Jones",5000,"Pit@Cin 01:00PM ET",4.520,"Pit"
"QB","Robert Griffin III",5000,"Was@Chi 01:00PM ET",0,"Was"
"QB","EJ Manuel",5000,"Buf@Phi 01:00PM ET",10.560,"Buf"
"QB","Sean Renfree",5000,"Atl@Car 01:00PM ET",-0.400,"Atl"
"QB","Mike Glennon",5000,"NO@TB 01:00PM ET",0,"TB"
"WR","Travis Benjamin",5000,"SF@Cle 01:00PM ET",14.992,"Cle"
"QB","Ryan Nassib",5000,"NYG@Mia 08:30PM ET",0,"NYG"
"QB","Ryan Griffin",5000,"NO@TB 01:00PM ET",0,"TB"
"QB","Matt McGloin",5000,"Oak@Den 04:05PM ET",5.840,"Oak"
"QB","Zach Mettenberger",5000,"Ten@NYJ 01:00PM ET",4.185,"Ten"
"QB","Aaron Murray",5000,"SD@KC 01:00PM ET",0,"KC"
"QB","Bryce Petty",5000,"Ten@NYJ 01:00PM ET",0,"NYJ"
"QB","AJ McCarron",5000,"Pit@Cin 01:00PM ET",0.227,"Cin"
"QB","David Fales",5000,"Was@Chi 01:00PM ET",0,"Chi"
"QB","Geno Smith",5000,"Ten@NYJ 01:00PM ET",21.000,"NYJ"
